--------------------------------------------------------------------------------
Datum und Uhrzeit: 2023-06-26 21:25:52
Passwortalter, Datum der letzten Anmeldung und Anzahl der Logins für jeden Benutzer:


Benutzername         Passwortalter                               Letzte Anmeldung    Anzahl der Logins
------------         -------------                               ----------------    -----------------
aagas_rasu           1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden  26.06.2023 17:37:27                 6
albin_alimusaj       1 Tage, 10 Stunden, 45 Minuten, 59 Sekunden                                     0
albin_duraku         1 Tage, 10 Stunden, 46 Minuten, 5 Sekunden                                      0
albin_krasniqi       1 Tage, 10 Stunden, 45 Minuten, 18 Sekunden                                     0
albin_mustafi        1 Tage, 10 Stunden, 47 Minuten, 13 Sekunden                                     0
albin_rexhepi        1 Tage, 10 Stunden, 47 Minuten, 7 Sekunden                                      0
albion_selimi        1 Tage, 10 Stunden, 46 Minuten, 23 Sekunden                                     0
albiona_sabedini     1 Tage, 10 Stunden, 46 Minuten, 13 Sekunden                                     0
albrim_kabashi       1 Tage, 10 Stunden, 46 Minuten, 5 Sekunden                                      0
aleksa_markovic      1 Tage, 10 Stunden, 45 Minuten, 39 Sekunden                                     0
aleksandar_markovic  1 Tage, 10 Stunden, 47 Minuten, 17 Sekunden                                     0
aleksandar_petrovic  1 Tage, 10 Stunden, 46 Minuten, 31 Sekunden                                     0
aleksandar_stankovic 1 Tage, 10 Stunden, 45 Minuten, 26 Sekunden                                     0
alena_yoerek         1 Tage, 10 Stunden, 46 Minuten, 15 Sekunden                                     0
alessandro_feder     1 Tage, 10 Stunden, 47 Minuten, 40 Sekunden                                     0
alessandro_gambardel 1 Tage, 10 Stunden, 37 Minuten, 9 Sekunden                                      0
alessia_azizi        1 Tage, 10 Stunden, 45 Minuten, 14 Sekunden                                     0
alessia_falone       1 Tage, 10 Stunden, 46 Minuten, 14 Sekunden                                     0
alessia_gerber       1 Tage, 10 Stunden, 46 Minuten, 34 Sekunden                                     0
alessio_paci         1 Tage, 10 Stunden, 45 Minuten, 40 Sekunden                                     0
alessio_scire        1 Tage, 10 Stunden, 46 Minuten, 30 Sekunden                                     0
alex_huerlimann      1 Tage, 10 Stunden, 45 Minuten, 28 Sekunden                                     0
alex_peterhans       1 Tage, 10 Stunden, 47 Minuten, 9 Sekunden                                      0
alex_serratore       1 Tage, 10 Stunden, 46 Minuten, 27 Sekunden                                     0
alexander_elsaesser  1 Tage, 10 Stunden, 47 Minuten, 41 Sekunden                                     0
alexander_penarincon 1 Tage, 10 Stunden, 45 Minuten, 45 Sekunden                                     0
alexander_schuerch   1 Tage, 10 Stunden, 45 Minuten, 55 Sekunden                                     0
alexander_wirz       1 Tage, 10 Stunden, 46 Minuten, 44 Sekunden                                     0
alexandernicolas_pas 1 Tage, 10 Stunden, 37 Minuten, 2 Sekunden                                      0
alexandra_dreher     1 Tage, 10 Stunden, 47 Minuten, 42 Sekunden                                     0
alexandra_guldimann  1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden                                      0
alexandra_haggenmuel 1 Tage, 10 Stunden, 36 Minuten, 59 Sekunden                                     0
alexandra_rytz       1 Tage, 10 Stunden, 47 Minuten, 4 Sekunden                                      0
alexandra_scheibler  1 Tage, 10 Stunden, 45 Minuten, 51 Sekunden                                     0
alexandrumarian_dumi 1 Tage, 10 Stunden, 37 Minuten, 2 Sekunden                                      0
aleyna_berber        1 Tage, 10 Stunden, 46 Minuten, 13 Sekunden                                     0
alican_selen         1 Tage, 10 Stunden, 46 Minuten, 58 Sekunden                                     0
alicia_rothermann    1 Tage, 10 Stunden, 46 Minuten, 29 Sekunden                                     0
alihaydar_sikyuerek  1 Tage, 10 Stunden, 45 Minuten, 0 Sekunden                                      0
alina_duncan         1 Tage, 10 Stunden, 46 Minuten, 4 Sekunden                                      0
alina_mueller        1 Tage, 10 Stunden, 47 Minuten, 14 Sekunden                                     0
alina_siegenthaler   1 Tage, 10 Stunden, 46 Minuten, 6 Sekunden                                      0
alina_stauffer       1 Tage, 10 Stunden, 46 Minuten, 16 Sekunden                                     0
aline_leuthold       1 Tage, 10 Stunden, 47 Minuten, 20 Sekunden                                     0
alischa_ramseier     1 Tage, 10 Stunden, 45 Minuten, 37 Sekunden                                     0
alisha_fillinger     1 Tage, 10 Stunden, 47 Minuten, 39 Sekunden                                     0
alron_krasniqi       1 Tage, 10 Stunden, 45 Minuten, 29 Sekunden                                     0
altin_dakaj          1 Tage, 10 Stunden, 45 Minuten, 23 Sekunden                                     0
aman_tesfamichael    1 Tage, 10 Stunden, 46 Minuten, 18 Sekunden                                     0
amanda_jeker         1 Tage, 10 Stunden, 47 Minuten, 26 Sekunden                                     0
amanda_mathys        1 Tage, 10 Stunden, 45 Minuten, 43 Sekunden                                     0
amanda-amalia_mosima 1 Tage, 10 Stunden, 36 Minuten, 57 Sekunden                                     0
amaniel_habtemariam  1 Tage, 10 Stunden, 46 Minuten, 26 Sekunden                                     0
amelie_probst        1 Tage, 10 Stunden, 45 Minuten, 32 Sekunden                                     0
amer_sabotic         1 Tage, 10 Stunden, 47 Minuten, 4 Sekunden                                      0
amirtharaj_jeirasa   1 Tage, 10 Stunden, 47 Minuten, 26 Sekunden                                     0
amyanna_rennhard     1 Tage, 10 Stunden, 47 Minuten, 7 Sekunden                                      0
anamaria_cioanca     1 Tage, 10 Stunden, 45 Minuten, 49 Sekunden                                     0
anastasia_gloor      1 Tage, 10 Stunden, 44 Minuten, 48 Sekunden                                     0
anastasia_walter     1 Tage, 10 Stunden, 45 Minuten, 39 Sekunden                                     0
anavictoria_strehler 1 Tage, 10 Stunden, 45 Minuten, 17 Sekunden                                     0
andeberhan_tsehaye   1 Tage, 10 Stunden, 44 Minuten, 46 Sekunden                                     0
andre_buettler       1 Tage, 10 Stunden, 45 Minuten, 7 Sekunden                                      0
andrea_fischer       1 Tage, 10 Stunden, 47 Minuten, 39 Sekunden                                     0
andrea_maurer        1 Tage, 10 Stunden, 46 Minuten, 20 Sekunden                                     0
andreas-weber        1 Tage, 10 Stunden, 46 Minuten, 45 Sekunden                                     0
andrin_guldimann     1 Tage, 10 Stunden, 47 Minuten, 32 Sekunden                                     0
andrin_oppikofer     1 Tage, 10 Stunden, 46 Minuten, 29 Sekunden                                     0
andrin_sarbach       1 Tage, 10 Stunden, 45 Minuten, 19 Sekunden                                     0
andrinsimon_walser   1 Tage, 10 Stunden, 45 Minuten, 25 Sekunden                                     0
andry_amiet          1 Tage, 10 Stunden, 48 Minuten, 3 Sekunden                                      0
anicia_grotti        1 Tage, 10 Stunden, 47 Minuten, 32 Sekunden                                     0
anita_stjepanovic    1 Tage, 10 Stunden, 46 Minuten, 55 Sekunden                                     0
anja_schoepfer       1 Tage, 10 Stunden, 46 Minuten, 59 Sekunden                                     0
anna_kalt            1 Tage, 10 Stunden, 45 Minuten, 12 Sekunden                                     0
anna_knuchel2        1 Tage, 10 Stunden, 45 Minuten, 24 Sekunden                                     0
annamaria_kunz       1 Tage, 10 Stunden, 45 Minuten, 24 Sekunden                                     0
annina_hardmeier     1 Tage, 10 Stunden, 47 Minuten, 30 Sekunden                                     0
anthea_jabou         1 Tage, 10 Stunden, 44 Minuten, 51 Sekunden                                     0
antonio_bosankic     1 Tage, 10 Stunden, 47 Minuten, 53 Sekunden                                     0
anurathan_ramachandr 1 Tage, 10 Stunden, 37 Minuten, 1 Sekunden                                      0
anusha_ongarabalan   1 Tage, 10 Stunden, 46 Minuten, 32 Sekunden                                     0
anushan_vasanthakuma 1 Tage, 10 Stunden, 37 Minuten, 5 Sekunden                                      0
apischanth_sritharan 1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden                                      0
aram_karem           1 Tage, 10 Stunden, 47 Minuten, 58 Sekunden                                     0
ardian_gashi         1 Tage, 10 Stunden, 48 Minuten, 9 Sekunden                                      0
argjent_haxhimehti   1 Tage, 10 Stunden, 46 Minuten, 17 Sekunden                                     0
arian_ramazani       1 Tage, 10 Stunden, 47 Minuten, 8 Sekunden                                      0
arianna_bozinovski   1 Tage, 10 Stunden, 45 Minuten, 35 Sekunden                                     0
ariannysmile_guzman  1 Tage, 10 Stunden, 44 Minuten, 57 Sekunden                                     0
arif_akbari          1 Tage, 10 Stunden, 44 Minuten, 47 Sekunden                                     0
aris_baltisberger    1 Tage, 10 Stunden, 45 Minuten, 8 Sekunden                                      0
aron_moser           1 Tage, 10 Stunden, 47 Minuten, 14 Sekunden                                     0
arta_halimi          1 Tage, 10 Stunden, 48 Minuten, 9 Sekunden                                      0
arthee_misteli       1 Tage, 10 Stunden, 44 Minuten, 52 Sekunden                                     0
arun_bill            1 Tage, 10 Stunden, 47 Minuten, 55 Sekunden                                     0
asan_fejzuli         1 Tage, 10 Stunden, 45 Minuten, 56 Sekunden                                     0
asmir_celikovic      1 Tage, 10 Stunden, 47 Minuten, 51 Sekunden                                     0
atillakaan_ket       1 Tage, 10 Stunden, 47 Minuten, 23 Sekunden                                     0
atschuten_sritharan  1 Tage, 10 Stunden, 45 Minuten, 2 Sekunden                                      0
augustin_scuric      1 Tage, 10 Stunden, 45 Minuten, 20 Sekunden                                     0
aurelio_gunzinger    1 Tage, 10 Stunden, 45 Minuten, 30 Sekunden                                     0
aurora_calaciura     1 Tage, 10 Stunden, 48 Minuten, 15 Sekunden                                     0
axel_stoeckli        1 Tage, 10 Stunden, 46 Minuten, 54 Sekunden                                     0
aykut_karabas        1 Tage, 10 Stunden, 47 Minuten, 24 Sekunden                                     0
babaker_hamed        1 Tage, 10 Stunden, 45 Minuten, 20 Sekunden                                     0
bahram_andeberhan    1 Tage, 10 Stunden, 45 Minuten, 21 Sekunden                                     0
baran_eker           1 Tage, 10 Stunden, 45 Minuten, 38 Sekunden                                     0
baran_solmaz         1 Tage, 10 Stunden, 45 Minuten, 59 Sekunden                                     0
barbara_soledade     1 Tage, 10 Stunden, 46 Minuten, 56 Sekunden                                     0
baro_adam            1 Tage, 10 Stunden, 47 Minuten, 59 Sekunden                                     0
bashkim_kadrija      1 Tage, 10 Stunden, 45 Minuten, 57 Sekunden                                     0
bastian_kaiser       1 Tage, 10 Stunden, 45 Minuten, 9 Sekunden                                      0
beier_alhaddad       1 Tage, 10 Stunden, 48 Minuten, 14 Sekunden                                     0
bekim_ferati         1 Tage, 10 Stunden, 46 Minuten, 1 Sekunden                                      0
belinda_flury        1 Tage, 10 Stunden, 45 Minuten, 21 Sekunden                                     0
belma_pudic          1 Tage, 10 Stunden, 47 Minuten, 8 Sekunden                                      0
ben_wespi            1 Tage, 10 Stunden, 45 Minuten, 18 Sekunden                                     0
benet_hasani         1 Tage, 10 Stunden, 45 Minuten, 27 Sekunden                                     0
benita_wernli        1 Tage, 10 Stunden, 45 Minuten, 50 Sekunden                                     0
benj_fuhrer          1 Tage, 10 Stunden, 46 Minuten, 32 Sekunden                                     0
benjamin_daetwyler   1 Tage, 10 Stunden, 47 Minuten, 44 Sekunden                                     0
benjamin_karabasic   1 Tage, 10 Stunden, 47 Minuten, 24 Sekunden                                     0
benjamin_mueller4    1 Tage, 10 Stunden, 45 Minuten, 25 Sekunden                                     0
benjamin_studer      1 Tage, 10 Stunden, 46 Minuten, 54 Sekunden                                     0
bereket_mengisteab   1 Tage, 10 Stunden, 44 Minuten, 38 Sekunden                                     0
bernardandreas_heil  1 Tage, 10 Stunden, 47 Minuten, 29 Sekunden                                     0
beteal_demos         1 Tage, 10 Stunden, 46 Minuten, 18 Sekunden                                     0
beyzanur_dagci       1 Tage, 10 Stunden, 46 Minuten, 12 Sekunden                                     0
biniam_berekteab     1 Tage, 10 Stunden, 47 Minuten, 55 Sekunden                                     0
biniam_ghebrehiwet   1 Tage, 10 Stunden, 45 Minuten, 29 Sekunden                                     0
birakash_vilvarajah  1 Tage, 10 Stunden, 46 Minuten, 48 Sekunden                                     0
bjoern_blaser        1 Tage, 10 Stunden, 46 Minuten, 6 Sekunden                                      0
bleon_qorrolli       1 Tage, 10 Stunden, 46 Minuten, 2 Sekunden                                      0
blerti_berisha       1 Tage, 10 Stunden, 45 Minuten, 41 Sekunden                                     0
bodo_friedli         1 Tage, 10 Stunden, 45 Minuten, 37 Sekunden                                     0
boris_milosavljevic  1 Tage, 10 Stunden, 47 Minuten, 15 Sekunden                                     0
botan_bozat          1 Tage, 10 Stunden, 45 Minuten, 57 Sekunden                                     0
bruno_brandao        1 Tage, 10 Stunden, 45 Minuten, 29 Sekunden                                     0
bryan_andres         1 Tage, 10 Stunden, 45 Minuten, 2 Sekunden                                      0
burim_raimi          1 Tage, 10 Stunden, 45 Minuten, 38 Sekunden                                     0
burim_saciri         1 Tage, 10 Stunden, 44 Minuten, 50 Sekunden                                     0
burim_sulejmani      1 Tage, 10 Stunden, 46 Minuten, 3 Sekunden                                      0
carina_christ        1 Tage, 10 Stunden, 45 Minuten, 19 Sekunden                                     0
carla_achermann      1 Tage, 10 Stunden, 47 Minuten, 59 Sekunden                                     0
carlos_casanova      1 Tage, 10 Stunden, 48 Minuten, 12 Sekunden                                     0
carmen_christen      1 Tage, 10 Stunden, 48 Minuten, 11 Sekunden                                     0
carmen_hoehn         1 Tage, 10 Stunden, 44 Minuten, 51 Sekunden                                     0
carmenalessia_wyss   1 Tage, 10 Stunden, 45 Minuten, 36 Sekunden                                     0
carol_dietlin        1 Tage, 10 Stunden, 46 Minuten, 1 Sekunden                                      0
cederic_mueller      1 Tage, 10 Stunden, 44 Minuten, 53 Sekunden                                     0
cedric_buettiker     1 Tage, 10 Stunden, 45 Minuten, 23 Sekunden                                     0
cedric_guenther      1 Tage, 10 Stunden, 47 Minuten, 32 Sekunden                                     0
cedric_jordi         1 Tage, 10 Stunden, 45 Minuten, 7 Sekunden                                      0
cedric_kuenzi2       1 Tage, 10 Stunden, 47 Minuten, 22 Sekunden                                     0
cedric_milani        1 Tage, 10 Stunden, 47 Minuten, 15 Sekunden                                     0
cedric_steiner       1 Tage, 10 Stunden, 45 Minuten, 8 Sekunden                                      0
cedric_theiler       1 Tage, 10 Stunden, 46 Minuten, 52 Sekunden                                     0
cedric_weber         1 Tage, 10 Stunden, 46 Minuten, 45 Sekunden                                     0
cedricjoel_streuli   1 Tage, 10 Stunden, 46 Minuten, 54 Sekunden                                     0
celina_feldmann      1 Tage, 10 Stunden, 47 Minuten, 39 Sekunden                                     0
celina_klauenboesch  1 Tage, 10 Stunden, 45 Minuten, 28 Sekunden                                     0
celine_derendinger   1 Tage, 10 Stunden, 47 Minuten, 44 Sekunden                                     0
celine_fueeg         1 Tage, 10 Stunden, 47 Minuten, 37 Sekunden                                     0
celine_kaufmann      1 Tage, 10 Stunden, 47 Minuten, 24 Sekunden                                     0
celine_meier         1 Tage, 10 Stunden, 47 Minuten, 16 Sekunden                                     0
cemal_cayir          1 Tage, 10 Stunden, 46 Minuten, 40 Sekunden                                     0
cemal_karalar        1 Tage, 10 Stunden, 45 Minuten, 46 Sekunden                                     0
chantal_david        1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden                                      0
chantal_laederach    1 Tage, 10 Stunden, 45 Minuten, 25 Sekunden                                     0
chantal_scheuermeyer 1 Tage, 10 Stunden, 44 Minuten, 37 Sekunden                                     0
charlesgeorges_liech 1 Tage, 10 Stunden, 37 Minuten, 7 Sekunden                                      0
chiara_kaeppeli      1 Tage, 10 Stunden, 47 Minuten, 25 Sekunden                                     0
chiara_ochsenbein    1 Tage, 10 Stunden, 46 Minuten, 20 Sekunden                                     0
chris_kureth         1 Tage, 10 Stunden, 47 Minuten, 21 Sekunden                                     0
christian_dietschi   1 Tage, 10 Stunden, 47 Minuten, 43 Sekunden                                     0
christian_fischer    1 Tage, 10 Stunden, 45 Minuten, 0 Sekunden                                      0
christian_fuerst     1 Tage, 10 Stunden, 47 Minuten, 36 Sekunden                                     0
christian_galarosa   1 Tage, 10 Stunden, 45 Minuten, 49 Sekunden                                     0
christian_kahlert    1 Tage, 10 Stunden, 47 Minuten, 25 Sekunden                                     0
christian_kleeb      1 Tage, 10 Stunden, 44 Minuten, 50 Sekunden                                     0
christian_limoli     1 Tage, 10 Stunden, 44 Minuten, 44 Sekunden                                     0
christian_loseni     1 Tage, 10 Stunden, 47 Minuten, 18 Sekunden                                     0
christof_lauber      1 Tage, 10 Stunden, 47 Minuten, 21 Sekunden                                     0
christoftobias_weick 1 Tage, 10 Stunden, 37 Minuten, 5 Sekunden                                      0
christoph_roetheli   1 Tage, 10 Stunden, 47 Minuten, 5 Sekunden                                      0
christoph_roth3      1 Tage, 10 Stunden, 44 Minuten, 53 Sekunden                                     0
christophe_maegli    1 Tage, 10 Stunden, 45 Minuten, 50 Sekunden                                     0
christopher_reichhar 1 Tage, 10 Stunden, 37 Minuten, 4 Sekunden                                      0
clarina_naef         1 Tage, 10 Stunden, 45 Minuten, 7 Sekunden                                      0
claudio_schoenmann   1 Tage, 10 Stunden, 47 Minuten, 0 Sekunden                                      0
clirim_lipovica      1 Tage, 10 Stunden, 47 Minuten, 20 Sekunden                                     0
colin_gerber         1 Tage, 10 Stunden, 47 Minuten, 34 Sekunden                                     0
colin_rueegger       1 Tage, 10 Stunden, 44 Minuten, 54 Sekunden                                     0
cony_willi           1 Tage, 10 Stunden, 45 Minuten, 15 Sekunden                                     0
corina_vondaeniken   1 Tage, 10 Stunden, 46 Minuten, 47 Sekunden                                     0
cristian_tabet       1 Tage, 10 Stunden, 45 Minuten, 22 Sekunden                                     0
cristian-bogdan_flor 1 Tage, 10 Stunden, 36 Minuten, 56 Sekunden                                     0
cristina_furfaro     1 Tage, 10 Stunden, 46 Minuten, 20 Sekunden                                     0
cyrill_friedli       1 Tage, 10 Stunden, 47 Minuten, 37 Sekunden                                     0
cyrill_kaiser        1 Tage, 10 Stunden, 45 Minuten, 49 Sekunden                                     0
cyrill_schwaller     1 Tage, 10 Stunden, 45 Minuten, 15 Sekunden                                     0
dahir_mohamudhared   1 Tage, 10 Stunden, 45 Minuten, 48 Sekunden                                     0
damaris_greuter      1 Tage, 10 Stunden, 47 Minuten, 33 Sekunden                                     0
damian_baumann       1 Tage, 10 Stunden, 48 Minuten, 13 Sekunden                                     0
damian_jackenkroll   1 Tage, 10 Stunden, 44 Minuten, 59 Sekunden                                     0
damiano_depascali    1 Tage, 10 Stunden, 45 Minuten, 43 Sekunden                                     0
damla_tuna           1 Tage, 10 Stunden, 46 Minuten, 51 Sekunden                                     0
dana_rhiner          1 Tage, 10 Stunden, 47 Minuten, 6 Sekunden                                      0
dani_correialopes    1 Tage, 10 Stunden, 45 Minuten, 8 Sekunden                                      0
daniel_brhane        1 Tage, 10 Stunden, 44 Minuten, 45 Sekunden                                     0
daniel_haile         1 Tage, 10 Stunden, 44 Minuten, 37 Sekunden                                     0
daniel_ibantorrijos  1 Tage, 10 Stunden, 45 Minuten, 27 Sekunden                                     0
daniel_kasanga       1 Tage, 10 Stunden, 46 Minuten, 28 Sekunden                                     0
daniel_kern          1 Tage, 10 Stunden, 47 Minuten, 23 Sekunden                                     0
daniel_moser         1 Tage, 10 Stunden, 47 Minuten, 14 Sekunden                                     0
daniel_santosdoaido  1 Tage, 10 Stunden, 45 Minuten, 58 Sekunden                                     0
daniel_schnabel      1 Tage, 10 Stunden, 45 Minuten, 54 Sekunden                                     0
daniel_wiesmann      1 Tage, 10 Stunden, 46 Minuten, 44 Sekunden                                     0
daniel_zivotic       1 Tage, 10 Stunden, 46 Minuten, 41 Sekunden                                     0
danielle_roth        1 Tage, 10 Stunden, 46 Minuten, 36 Sekunden                                     0
danijel_stanojevic   1 Tage, 10 Stunden, 45 Minuten, 49 Sekunden                                     0
danja_schaerer       1 Tage, 10 Stunden, 44 Minuten, 59 Sekunden                                     0
dario_gambone        1 Tage, 10 Stunden, 44 Minuten, 52 Sekunden                                     0
dario_joss           1 Tage, 10 Stunden, 44 Minuten, 49 Sekunden                                     0
dario_looser         1 Tage, 10 Stunden, 47 Minuten, 19 Sekunden                                     0
dario_mazziotti      1 Tage, 10 Stunden, 45 Minuten, 45 Sekunden                                     0
dario_meyer          1 Tage, 10 Stunden, 46 Minuten, 4 Sekunden                                      0
dario_paurevic       1 Tage, 10 Stunden, 48 Minuten, 6 Sekunden                                      0
dario_pieber         1 Tage, 10 Stunden, 47 Minuten, 9 Sekunden                                      0
dario_sljivic        1 Tage, 10 Stunden, 46 Minuten, 57 Sekunden                                     0
dariojoel_puentener  1 Tage, 10 Stunden, 44 Minuten, 58 Sekunden                                     0
darius_gschwind      1 Tage, 10 Stunden, 47 Minuten, 32 Sekunden                                     0
darlyn_beronilla     1 Tage, 10 Stunden, 47 Minuten, 55 Sekunden                                     0
dave_odermatt        1 Tage, 10 Stunden, 47 Minuten, 11 Sekunden                                     0
david_achermann      1 Tage, 10 Stunden, 45 Minuten, 23 Sekunden                                     0
david_dedic          1 Tage, 10 Stunden, 47 Minuten, 44 Sekunden                                     0
david_froelicher     1 Tage, 10 Stunden, 45 Minuten, 4 Sekunden                                      0
david_jedrinovic     1 Tage, 10 Stunden, 44 Minuten, 59 Sekunden                                     0
david_korfmacher     1 Tage, 10 Stunden, 47 Minuten, 22 Sekunden                                     0
david_lado           1 Tage, 10 Stunden, 45 Minuten, 15 Sekunden                                     0
david_oetterli       1 Tage, 10 Stunden, 47 Minuten, 11 Sekunden                                     0
david_schild         1 Tage, 10 Stunden, 47 Minuten, 2 Sekunden                                      0
david_stutzki        1 Tage, 10 Stunden, 46 Minuten, 53 Sekunden                                     0
david_suntinger      1 Tage, 10 Stunden, 48 Minuten, 5 Sekunden                                      0
daviddaniel_dubach   1 Tage, 10 Stunden, 46 Minuten, 29 Sekunden                                     0
davidgideon_rufer    1 Tage, 10 Stunden, 45 Minuten, 17 Sekunden                                     0
davidhinko_gelbhaus  1 Tage, 10 Stunden, 46 Minuten, 33 Sekunden                                     0
dawit_temesgen       1 Tage, 10 Stunden, 44 Minuten, 43 Sekunden                                     0
dean_ruettimann      1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
debora_cusumano      1 Tage, 10 Stunden, 47 Minuten, 45 Sekunden                                     0
deepu_chennanparambi 1 Tage, 10 Stunden, 37 Minuten, 9 Sekunden                                      0
degol_yakob          1 Tage, 10 Stunden, 45 Minuten, 16 Sekunden                                     0
dejan_cosic          1 Tage, 10 Stunden, 45 Minuten, 16 Sekunden                                     0
delphine_flueeli     1 Tage, 10 Stunden, 45 Minuten, 10 Sekunden                                     0
delvin_uthayakumaran 1 Tage, 10 Stunden, 44 Minuten, 58 Sekunden                                     0
denden_mulubrhan     1 Tage, 10 Stunden, 44 Minuten, 45 Sekunden                                     0
denis_wethli         1 Tage, 10 Stunden, 46 Minuten, 45 Sekunden                                     0
denisan_rasalingam   1 Tage, 10 Stunden, 46 Minuten, 12 Sekunden                                     0
denise_fahrer        1 Tage, 10 Stunden, 44 Minuten, 54 Sekunden                                     0
denise_schraemmli    1 Tage, 10 Stunden, 46 Minuten, 19 Sekunden                                     0
deniz_mustafa        1 Tage, 10 Stunden, 47 Minuten, 13 Sekunden                                     0
deniz_sen            1 Tage, 10 Stunden, 45 Minuten, 53 Sekunden                                     0
deniz_uenal          1 Tage, 10 Stunden, 45 Minuten, 7 Sekunden                                      0
deniz_zekiri         1 Tage, 10 Stunden, 45 Minuten, 36 Sekunden                                     0
dennis_vugts         1 Tage, 10 Stunden, 48 Minuten, 4 Sekunden                                      0
desideria_bischof    1 Tage, 10 Stunden, 47 Minuten, 54 Sekunden                                     0
desolz_ramo          1 Tage, 10 Stunden, 44 Minuten, 37 Sekunden                                     0
devonsan_manohar     1 Tage, 10 Stunden, 46 Minuten, 22 Sekunden                                     0
diana_jenzer         1 Tage, 10 Stunden, 45 Minuten, 7 Sekunden                                      0
diana_weber          1 Tage, 10 Stunden, 46 Minuten, 45 Sekunden                                     0
dide_kocyigit        1 Tage, 10 Stunden, 45 Minuten, 13 Sekunden                                     0
dijamant_gashi       1 Tage, 10 Stunden, 44 Minuten, 47 Sekunden                                     0
dilet_million        1 Tage, 10 Stunden, 45 Minuten, 22 Sekunden                                     0
dimitri_raess        1 Tage, 10 Stunden, 46 Minuten, 39 Sekunden                                     0
dino_rohrbach        1 Tage, 10 Stunden, 44 Minuten, 56 Sekunden                                     0
djordja_dukic        1 Tage, 10 Stunden, 45 Minuten, 3 Sekunden                                      0
domenik_gegaj        1 Tage, 10 Stunden, 45 Minuten, 41 Sekunden                                     0
domenik_pervorfi     1 Tage, 10 Stunden, 45 Minuten, 22 Sekunden                                     0
dominic_gass         1 Tage, 10 Stunden, 45 Minuten, 53 Sekunden                                     0
dominic_grimm        1 Tage, 10 Stunden, 45 Minuten, 59 Sekunden                                     0
dominic_jost         1 Tage, 10 Stunden, 45 Minuten, 6 Sekunden                                      0
